"srd_id","latitude","longitude","elev","Barren.PLAND","Evergreen.Needleleaf.Forests.PLAND","Evergreen.Broadleaf.Forests.PLAND","Deciduous.Needleleaf.Forests.PLAND","Deciduous.Broadleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Evergreen.Deciduous.Forests.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Sparse.Shrublands.PLAND","Urban.PLAND","Forest.Cropland.Mosaics.PLAND","Natural.Herbaceous.Croplands.Mosaics.PLAND","Herbaceous.Croplands.PLAND","Woody.Wetlands.PLAND","Herbaceous.Wetlands.PLAND"
249773,50.0722408198038,-115.866188150099,1326,0.535077288941736,30.2021403091558,0,0,0,0.089179548156956,0,55.5291319857313,3.9833531510107,6.12366230677765,3.53745541022592,0,0,0,0,0,0,0,0,0.0594530321046373
249774,50.0722408198038,-115.492554248734,1693,2.64565992865636,25.1486325802616,0,0.0297265160523187,0,0,0,42.5683709869203,9.18549346016647,10.0475624256837,9.7205707491082,0,0,0,0.326991676575505,0,0,0.0594530321046373,0,0.178359096313912
249775,50.0722408198038,-115.118920347369,1898,3.65283459964933,28.1998831092928,0,0,0,0,0,44.8275862068966,5.34774985388662,7.94856808883694,9.87726475745178,0,0,0,0.321449444769141,0,0,0,0,0
249776,50.0722408198038,-114.745286446004,1916,3.53745541022592,28.6266349583829,0,0,0,0,0,46.5814506539834,2.85374554102259,10.077288941736,8.32342449464923,0,0,0,0,0,0,0,0,0.0594530321046373
249777,50.0722408198038,-114.371652544639,1828,0.292226767971946,25.1607247223846,0,0.0292226767971946,0.350672121566335,1.84102863822326,0,50.3214494447691,2.1624780829924,18.614845119813,1.22735242548217,0,0,0,0,0,0,0,0,0
249778,50.0722408198038,-113.998018643273,1351,0,8.5909631391201,0,0.564803804994055,1.24851367419738,2.76456599286564,0,18.3115338882283,1.69441141498216,66.8252080856124,0,0,0,0,0,0,0,5.14268727705113,0,0
249779,50.0722408198038,-113.624384741908,1034,0,0,0,0,0,0,0,0,0,99.9123319696084,0.0876680303915839,0,0,0,0.233781414377557,0,0,63.8223261250731,0,0.0584453535943892
249780,50.0722408198038,-113.250750840543,963,0.118906064209275,0,0,0,0,0,0,0,0,98.2164090368609,0.594530321046373,0,0,0,0,0,0,86.1177170035672,0,0.505350772889417
249781,50.0722408198038,-112.877116939178,941,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,85.1070154577883,0,0
249782,50.0722408198038,-112.503483037813,829,0.267538644470868,0,0,0,0,0,0,0,0,99.1676575505351,0.297265160523187,0,0,0,0,0,0,52.615933412604,0,0.148632580261593
249783,50.0722408198038,-112.129849136447,790,0.0594530321046373,0,0,0,0,0,0,0,0,99.6432818073722,0.118906064209275,0,0,0,0.089179548156956,0,0,61.9500594530321,0,0.178359096313912
249784,50.0722408198038,-111.756215235082,769,0.0876680303915839,0,0,0,0,0,0,0,0,99.3278784336645,0.409117475160725,0,0,0,0,0,0,44.7106954997078,0,0.350672121566335
249785,50.0722408198038,-111.382581333717,759,0.0594530321046373,0,0,0,0,0,0,0,0,98.7217598097503,0.743162901307967,0,0,0,0,0,0,27.5862068965517,0,0.326991676575505
249786,50.0722408198038,-111.008947432352,762,0,0,0,0,0,0,0,0,0,99.1817650496785,0.818234950321449,0,0,0,0.292226767971946,0,0,24.9561659848042,0,0
